,l_posicion,titulo,año,duracion,rating
0,1,Cadena perpetua,1994,2H22M,9.3
1,2,El padrino,1972,2H55M,9.2
2,3,El caballero oscuro,2008,2H32M,9.1
3,4,El padrino parte II,1974,3H22M,9.0
4,5,12 hombres sin piedad,1957,1H36M,9.0
5,6,El señor de los anillos: El retorno del rey,2003,3H21M,9.0
6,7,La lista de Schindler,1993,3H15M,9.0
7,8,El señor de los anillos: La comunidad del anillo,2001,2H58M,8.9
8,9,Pulp Fiction,1994,2H34M,8.8
9,10,"El bueno, el feo y el malo",1966,3H2M,8.8
10,11,El señor de los anillos: Las dos torres,2002,2H59M,8.8
11,12,Forrest Gump,1994,2H22M,8.8
12,13,El club de la lucha,1999,2H19M,8.8
13,14,Origen,2010,2H28M,8.8
14,15,El imperio contraataca,1980,2H4M,8.7
15,16,Matrix,1999,2H16M,8.7
16,17,Uno de los nuestros,1990,2H25M,8.7
17,18,Interstellar,2014,2H49M,8.7
18,19,Alguien voló sobre el nido del cuco,1975,2H13M,8.6
19,20,Seven,1995,2H7M,8.6
20,21,Qué bello es vivir,1946,2H10M,8.6
21,22,El silencio de los corderos,1991,1H58M,8.6
22,23,Los siete samuráis,1954,3H27M,8.6
23,24,Salvar al soldado Ryan,1998,2H49M,8.6
24,25,La milla verde,1999,3H9M,8.6
25,26,Ciudad de Dios,2002,2H10M,8.6
26,27,La vida es bella,1997,1H56M,8.6
27,28,Terminator 2: El juicio final,1991,2H17M,8.6
28,29,La guerra de las galaxias,1977,2H1M,8.6
29,30,Regreso al futuro,1985,1H56M,8.5
30,31,El viaje de Chihiro,2001,2H4M,8.6
31,32,El pianista,2002,2H30M,8.5
32,33,Gladiator (El gladiador),2000,2H35M,8.5
33,34,Parásitos,2019,2H12M,8.5
34,35,Psicosis,1960,1H49M,8.5
35,36,El rey león,1994,1H28M,8.5
36,37,La tumba de las luciérnagas,1988,1H28M,8.5
37,38,Infiltrados,2006,2H31M,8.5
38,39,Whiplash,2014,1H46M,8.5
39,40,Harakiri,1962,2H13M,8.6
40,41,El truco final (El prestigio),2006,2H10M,8.5
41,42,American History X,1998,1H59M,8.5
42,43,El profesional (Léon),1994,1H50M,8.5
43,44,Spider-Man: Cruzando el multiverso,2023,2H20M,8.5
44,45,Casablanca,1942,1H42M,8.5
45,46,Cinema Paradiso,1988,2H54M,8.5
46,47,Intocable,2011,1H52M,8.5
47,48,Sospechosos habituales,1995,1H46M,8.5
48,49,"Alien, el octavo pasajero",1979,1H57M,8.5
49,50,Tiempos modernos,1936,1H27M,8.5
50,51,La ventana indiscreta,1954,1H52M,8.5
51,52,Django desencadenado,2012,2H45M,8.5
52,53,Hasta que llegó su hora,1968,2H46M,8.5
53,54,Luces de la ciudad,1931,1H27M,8.5
54,55,Apocalypse Now,1979,2H27M,8.4
55,56,WALL·E,2008,1H38M,8.4
56,57,Memento,2000,1H53M,8.4
57,58,Dune: Parte dos,2024,2H46M,8.4
58,59,En busca del arca perdida,1981,1H55M,8.4
59,60,Vengadores: Infinity War,2018,2H29M,8.4
60,61,La vida de los otros,2006,2H17M,8.4
61,62,Spider-Man: Un nuevo universo,2018,1H57M,8.4
62,63,El crepúsculo de los dioses,1950,1H50M,8.4
63,64,Testigo de cargo,1957,1H56M,8.4
64,65,Senderos de gloria,1957,1H28M,8.4
65,66,El resplandor,1980,2H26M,8.4
66,67,El gran dictador,1940,2H5M,8.4
67,68,Malditos bastardos,2009,2H33M,8.4
68,69,Aliens: El regreso,1986,2H17M,8.4
69,70,12th Fail,2023,2H27M,8.7
70,71,El caballero oscuro: La leyenda renace,2012,2H44M,8.4
71,72,El infierno del odio,1963,2H23M,8.4
72,73,Coco,2017,1H45M,8.4
73,74,Vengadores: Endgame,2019,3H1M,8.4
74,75,Amadeus,1984,2H40M,8.4
75,76,El indomable Will Hunting,1997,2H6M,8.3
76,77,Toy Story,1995,1H21M,8.3
77,78,Old Boy,2003,2H,8.3
78,79,El submarino (Das Boot),1981,2H29M,8.4
79,80,¿Teléfono rojo? Volamos hacia Moscú,1964,1H35M,8.3
80,81,Your Name.,2016,1H46M,8.4
81,82,Braveheart,1995,2H58M,8.3
82,83,La princesa Mononoke,1997,2H13M,8.3
83,84,American Beauty,1999,2H2M,8.3
84,85,3 Idiots,2009,2H50M,8.4
85,86,Cafarnaúm,2018,2H6M,8.4
86,87,Joker,2019,2H2M,8.3
87,88,Érase una vez en América,1984,3H49M,8.3
88,89,Cantando bajo la lluvia,1952,1H43M,8.3
89,90,Masacre (Ven y mira),1985,2H22M,8.3
90,91,Réquiem por un sueño,2000,1H42M,8.3
91,92,El retorno del jedi,1983,2H11M,8.3
92,93,Toy Story 3,2010,1H43M,8.3
93,94,La caza de Thomas Vinterberg,2012,1H55M,8.3
94,95,Vivir,1952,2H23M,8.3
95,96,¡Olvídate de mí!,2004,1H48M,8.3
96,97,Incendios,2010,2H11M,8.3
97,98,El apartamento,1960,2H5M,8.3
98,99,Lawrence de Arabia,1962,3H47M,8.3
99,100,2001: Una odisea del espacio,1968,2H29M,8.3
100,101,Reservoir Dogs,1992,1H39M,8.3
101,102,El precio del poder,1983,2H50M,8.3
102,103,Heat,1995,2H50M,8.3
103,104,Perdición,1944,1H47M,8.3
104,105,Up,2009,1H36M,8.3
105,106,Con la muerte en los talones,1959,2H16M,8.3
106,107,"M, el vampiro de Düsseldorf",1931,1H57M,8.3
107,108,La chaqueta metálica,1987,1H56M,8.2
108,109,Ciudadano Kane,1941,1H59M,8.2
109,110,Vértigo (De entre los muertos),1958,2H8M,8.2
110,111,Amélie,2001,2H2M,8.3
111,112,Taare Zameen Par,2007,2H42M,8.3
112,113,"Nader y Simin, una separación",2011,2H3M,8.3
113,114,Jungla de cristal,1988,2H12M,8.2
114,115,Matar a un ruiseñor,1962,2H9M,8.3
115,116,Indiana Jones y la última cruzada,1989,2H7M,8.2
116,117,El golpe,1973,2H9M,8.2
117,118,La naranja mecánica,1971,2H16M,8.2
118,119,Metrópolis,1927,2H33M,8.3
119,120,Snatch. Cerdos y diamantes,2000,1H44M,8.2
120,121,1917,2019,1H59M,8.2
121,122,Oppenheimer,2023,3H,8.3
122,123,L.A. Confidential,1997,2H18M,8.2
123,124,El hundimiento,2004,2H36M,8.2
124,125,Ladrón de bicicletas,1948,1H29M,8.2
125,126,Dangal,2016,2H41M,8.3
126,127,El lobo de Wall Street,2013,3H,8.2
127,128,El show de Truman,1998,1H43M,8.2
128,129,Green Book,2018,2H10M,8.2
129,130,Batman Begins,2005,2H20M,8.2
130,131,Hamilton,2020,2H40M,8.3
131,132,Taxi Driver,1976,1H54M,8.2
132,133,Shutter Island,2010,2H18M,8.2
133,134,La muerte tenía un precio,1965,2H12M,8.2
134,135,Vencedores o vencidos,1961,2H59M,8.3
135,136,Con faldas y a lo loco,1959,2H1M,8.2
136,137,Jurassic Park (Parque Jurásico),1993,2H7M,8.2
137,138,Pozos de ambición,2007,2H38M,8.2
138,139,El chico,1921,1H8M,8.2
139,140,El padre,2020,1H37M,8.2
140,141,Eva al desnudo,1950,2H18M,8.2
141,142,El sexto sentido,1999,1H47M,8.2
142,143,Hababam Sinifi: Sinifta Kaldi,1975,1H35M,8.6
143,144,Ran,1985,2H40M,8.2
144,145,Casino,1995,2H58M,8.2
145,146,No es país para viejos,2007,2H2M,8.2
146,147,La cosa (El enigma de otro mundo),1982,1H49M,8.2
147,148,Una batalla tras otra,2025,2H41M,8.2
148,149,Top Gun: Maverick,2022,2H10M,8.2
149,150,Sin perdón,1992,2H10M,8.2
150,151,El laberinto del fauno,2006,1H58M,8.2
151,152,Kill Bill: Volumen 1,2003,1H51M,8.2
152,153,Prisioneros,2013,2H33M,8.2
153,154,Una mente maravillosa,2001,2H15M,8.2
154,155,El tesoro de Sierra Madre,1948,2H6M,8.2
155,156,El castillo ambulante,2004,1H59M,8.2
156,157,Buscando a Nemo,2003,1H40M,8.2
157,158,Yojimbo,1961,1H50M,8.2
158,159,La gran evasión,1963,2H52M,8.2
159,160,Los caballeros de la mesa cuadrada y sus locos seguidores,1975,1H31M,8.2
160,161,El hombre elefante,1980,2H4M,8.2
161,162,La mejor juventud,2003,6H14M,8.4
162,163,Klaus,2019,1H36M,8.2
163,164,Crimen perfecto,1954,1H45M,8.2
164,165,Lo que el viento se llevó,1939,3H58M,8.2
165,166,El secreto de sus ojos,2009,2H9M,8.2
166,167,Chinatown,1974,2H10M,8.1
167,168,Lock &amp; Stock,1998,1H47M,8.1
168,169,V de vendetta,2005,2H12M,8.1
169,170,Guardianes de la noche: Kimetsu no Yaiba - La fortaleza infinita,2025,2H35M,8.5
170,171,Rashomon,1950,1H28M,8.1
171,172,Del revés (Inside Out),2015,1H35M,8.1
172,173,Atrápame si puedes,2002,2H21M,8.1
173,174,Tres anuncios en las afueras,2017,1H55M,8.1
174,175,Trainspotting,1996,1H33M,8.1
175,176,El puente sobre el río Kwai,1957,2H41M,8.1
176,177,Harry Potter y las Reliquias de la Muerte: Parte 2,2011,2H10M,8.1
177,178,Toro salvaje,1980,2H9M,8.1
178,179,Fargo,1996,1H38M,8.1
179,180,Warrior,2011,2H20M,8.1
180,181,Robot salvaje,2024,1H42M,8.2
181,182,El club de los poetas muertos,1989,2H8M,8.1
182,183,Million Dollar Baby,2004,2H12M,8.1
183,184,Ben-Hur,1959,3H32M,8.1
184,185,Mad Max: Furia en la carretera,2015,2H,8.1
185,186,Barry Lyndon,1975,3H5M,8.1
186,187,Gran Torino,2008,1H56M,8.1
187,188,Mi vecino Totoro,1988,1H26M,8.1
188,189,Hasta el último hombre (Hacksaw Ridge),2016,2H19M,8.1
189,190,Children of Heaven,1997,1H29M,8.2
190,191,El gran hotel Budapest,2014,1H39M,8.1
191,192,12 años de esclavitud,2013,2H14M,8.1
192,193,Antes de amanecer,1995,1H41M,8.1
193,194,Blade Runner,1982,1H57M,8.1
194,195,Spider-Man: No Way Home,2021,2H28M,8.2
195,196,Memories of Murder (Crónica de un asesino en serie),2003,2H11M,8.1
196,197,Ratatouille,2007,1H51M,8.1
197,198,Cómo entrenar a tu dragón,2010,1H38M,8.1
198,199,Perdida,2014,2H29M,8.1
199,200,"Monstruos, S.A.",2001,1H32M,8.1
200,201,Tiburón,1975,2H4M,8.1
201,202,En el nombre del padre,1993,2H13M,8.1
202,203,Le Mans &apos;66,2019,2H32M,8.1
203,204,Relatos salvajes,2014,2H2M,8.1
204,205,La quimera del oro,1925,1H35M,8.1
205,206,El moderno Sherlock Holmes,1924,45M,8.1
206,207,Mary and Max,2009,1H32M,8.1
207,208,El cazador,1978,3H3M,8.1
208,209,El salario del miedo,1953,2H36M,8.1
209,210,El maquinista de La General,1926,1H18M,8.1
210,211,Logan,2017,2H17M,8.1
211,212,Caballero sin espada,1939,2H9M,8.1
212,213,La ley del silencio,1954,1H48M,8.1
213,214,Rocky,1976,2H,8.1
214,215,Fresas salvajes,1957,1H32M,8.1
215,216,Cuentos de Tokio,1953,2H17M,8.1
216,217,Piratas del Caribe: La maldición de la Perla Negra,2003,2H23M,8.1
217,218,El tercer hombre,1949,1H44M,8.1
218,219,Spotlight,2015,2H9M,8.1
219,220,Maharaja,2024,2H21M,8.3
220,221,Terminator,1984,1H47M,8.1
221,222,El odio,1995,1H38M,8.1
222,223,El gran Lebowski,1998,1H57M,8.1
223,224,Jai Bhim,2021,2H44M,8.6
224,225,El séptimo sello,1957,1H36M,8.1
225,226,La habitación,2015,1H58M,8.1
226,227,Sonrisas y lágrimas,1965,2H54M,8.1
227,228,Hotel Rwanda,2004,2H1M,8.1
228,229,Los mejores años de nuestra vida,1946,2H50M,8.1
229,230,Platoon,1986,2H,8.1
230,231,Antes del atardecer,2004,1H20M,8.1
231,232,A Silent Voice,2016,2H10M,8.2
232,233,Los Increíbles,2004,1H55M,8.0
233,234,El exorcista,1973,2H2M,8.1
234,235,Siempre a tu lado (Hachiko),2009,1H33M,8.1
235,236,Rush,2013,2H3M,8.1
236,237,El mago de Oz,1939,1H42M,8.1
237,238,Cuenta conmigo,1986,1H29M,8.1
238,239,El gigante de hierro,1999,1H26M,8.1
239,240,La pasión de Juana de Arco,1928,1H50M,8.1
240,241,Mi padre y mi hijo,2005,1H52M,8.2
241,242,La doncella,2016,2H25M,8.1
242,243,"Network, un mundo implacable",1976,2H1M,8.1
243,244,La batalla de Argel,1966,2H1M,8.1
244,245,Guardianes de la noche - Kimetsu no Yaiba - La película: Tren Infinito,2020,1H57M,8.2
245,246,Las uvas de la ira,1940,2H9M,8.1
246,247,Ser o no ser,1942,1H39M,8.1
247,248,Gangs of Wasseypur,2012,5H21M,8.2
248,249,Drishyam,2015,2H43M,8.2
249,250,Criadas y señoras,2011,2H26M,8.1
